"MIM"	"OMIM_disease_title"	"phecodes"
"OMIM_614576"	"#614576 CONGENITAL DISORDER OF GLYCOSYLATION, TYPE IIL; CDG2L;;CDG IIL; CDGIIL"	"291.8,345.3,350.3,526.3,555,561.1,571.5,571.51,573.3,573.6"
"OMIM_238970"	"#238970 HYPERORNITHINEMIA-HYPERAMMONEMIA-HOMOCITRULLINURIA SYNDROME;;HHH SYNDROME; HHHS; HHH;;ORNITHINE TRANSLOCASE DEFICIENCY"	"070,315.1,315.3,323,331,334.1,345.11,348.7,350.1,350.3,362.7,363.4,573.3,789.1,798"
"OMIM_266200"	"PYRUVATE KINASE DEFICIENCY OF RED CELLS"	"277.4,283.2,573.5,574.1,574.3,579.2,637"
"OMIM_259710"	"#259710 OSTEOPETROSIS, AUTOSOMAL RECESSIVE 2; OPTB2;;OSTEOPETROSIS, OSTEOCLAST-POOR;;OSTEOPETROSIS, MILD AUTOSOMAL RECESSIVE FORM"	"284.1,285,287.3,289.5,352.2,367.9,377.1,472,521.1,526.3,571.5,710.1,736.4,743.2"
"OMIM_117300"	"DEMENTIA, FAMILIAL DANISH"	"270.33,290.1,290.12,295.3,333.1,334.1,350.1,366,389"
"OMIM_176500"	"#176500 CEREBRAL AMYLOID ANGIOPATHY, ITM2B-RELATED, 1;;DEMENTIA, FAMILIAL BRITISH; FBD;;PRESENILE DEMENTIA WITH SPASTIC ATAXIA;;CEREBRAL AMYLOID ANGIOPATHY, BRITISH TYPE"	"270.33,290.1,333.1,350.1,772.2"
"OMIM_616079"	"#616079 RETINAL DYSTROPHY WITH INNER RETINAL DYSFUNCTION AND GANGLION CELLABNORMALITIES; RDGCA"	"362.7,368,368.9,377.1"
"OMIM_180200"	"#180200 RETINOBLASTOMA; RB1;;RB"	"170,170.1,190,202.2,204,362.4,379.2"
"OMIM_610181"	"#610181 AICARDI-GOUTIERES SYNDROME 2; AGS2"	"331,333.4,334.1,348.8,348.9"
"OMIM_277900"	"#277900 WILSON DISEASE;;WND; WD;;HEPATOLENTICULAR DEGENERATION"	"070.4,250.5,252.2,261.41,269,274.21,275.53,283,290.1,292.1,333.1,333.4,348.7,350.3,356,364,530.2,532,571.51,573,573.3,586,594.1,728.2,740,743.1"
"OMIM_613661"	"#613661 CONGENITAL DISORDER OF GLYCOSYLATION, TYPE IP; CDG1P"	"345.3,350.1,378,389.1,613.8,783,789"
"OMIM_608768"	"#608768 SPINOCEREBELLAR ATAXIA 8; SCA8"	"292.1,333.1,334.1,350.1,350.3,356,378.2,532"
"OMIM_256731"	"#256731 CEROID LIPOFUSCINOSIS, NEURONAL, 5; CLN5;;CEROID LIPOFUSCINOSIS, NEURONAL, 5, VARIABLE AGE AT ONSETNEURONAL CEROID LIPOFUSCINOSIS, LATE INFANTILE, FINNISH VARIANT, INCLUDED;;FINNISH VLINCL, INCLUDED"	"292.1,315.3,333,333.2,334.1,345.3,350.3,362,367.9,378.2"
"OMIM_221200"	"#221200 DEAFNESS AND MYOPIA; DFNMYP"	"269,315.3,360.2,367.1,389.2,593"
"OMIM_616192"	"#616192 ATAXIA, COMBINED CEREBELLAR AND PERIPHERAL, WITH HEARING LOSS ANDDIABETES MELLITUS; ACPHD"	"250.1,331,334.1,350.5,389.1"
"OMIM_606054"	"#606054 PROPIONIC ACIDEMIA;;PROPIONYL-COA CARBOXYLASE DEFICIENCY;;PCC DEFICIENCY;;GLYCINEMIA, KETOTIC;;HYPERGLYCINEMIA WITH KETOACIDOSIS AND LEUKOPENIA;;KETOTIC HYPERGLYCINEMIA"	"251.1,260.6,276.41,276.5,284.1,285,287.3,292.2,292.6,323,331,333.4,345.3,348.7,350.3,425,425.1,427,430.2,513.31,513.4,563,573.3,577,743.1,772.2,789,798,939"
"OMIM_609307"	"SPINOCEREBELLAR ATAXIA 27"	"292.1,292.3,296.2,315.3,333.1,333.4,334.1,350.1,356,378,378.2"
"OMIM_175780"	"#175780 PORENCEPHALY 1; POREN1;;HEMIPLEGIA, INFANTILE, WITH PORENCEPHALY PORENCEPHALY, TYPE 1; T1P;;PORENCEPHALY, TYPE 1, AUTOSOMAL DOMINANT; ADT1P"	"283,315.3,324,331.1,333,334.1,342,344,345.3,348.4,350.1,350.5,368.4,378.1,433.21"
"OMIM_607595"	"#607595 BRAIN SMALL VESSEL DISEASE WITH OR WITHOUT OCULAR ANOMALIES;;BRAIN SMALL VESSEL DISEASE WITH HEMORRHAGE;;INFANTILE HEMIPARESIS;;RETINAL ARTERIOLAR TORTUOSITY, INFANTILE HEMIPARESIS, AND LEUKOENCEPHALOPATHY,AUTOSOMAL DOMINANT;;BRAIN SMALL VESSEL DISEASE WITH AXENFELD-RIEGER ANOMALY;;LEUKOENCEPHALOPATHY WITH AXENFELD-RIEGER ANOMALY"	"315.3,340.1,342,345.3,348.4,348.8,361,362.4,362.7,364.1,365,367.1,367.2,367.8,368,368.1,368.4,370,378,379.5"
"OMIM_611773"	"#611773 ANGIOPATHY, HEREDITARY, WITH NEPHROPATHY, ANEURYSMS, AND MUSCLE CRAMPS;HANAC"	"324,362.4,362.8,427,433.21,433.5,580,585.2,586.2,593,771.2"
"OMIM_614483"	"#614483 PORENCEPHALY 2; POREN2"	"342,345.3,348.4,348.9,350.1,430"
"OMIM_227500"	"#227500 FACTOR VII DEFICIENCY;;F7 DEFICIENCY;;HYPOPROCONVERTINEMIA"	"430,477,729,741.5"
"OMIM_227600"	"#227600 FACTOR X DEFICIENCY;;F10 DEFICIENCY;;STUART-PROWER FACTOR DEFICIENCY"	"286.9,430,477,729,741.5"
"OMIM_115200"	"#115200 CARDIOMYOPATHY, DILATED, 1A; CMD1A;;CARDIOMYOPATHY, DILATED, WITH CONDUCTION DEFECT 1; CDCD1;;CARDIOMYOPATHY, IDIOPATHIC DILATED;;CARDIOMYOPATHY, FAMILIAL IDIOPATHIC;;CARDIOMYOPATHY, CONGESTIVE"	"420.2,425,427,427.21,427.22,428.1"
"OMIM_151660"	"#151660 LIPODYSTROPHY, FAMILIAL PARTIAL, TYPE 2; FPLD2;;FPL2;;LIPODYSTROPHY, FAMILIAL PARTIAL, DUNNIGAN TYPE;;LIPODYSTROPHY, FAMILIAL, OF LIMBS AND LOWER TRUNK;;LIPODYSTROPHY, REVERSE PARTIAL;;LIPOATROPHIC DIABETES"	"214,250.2,250.42,251.1,272.12,277.51,278.3,352,359.2,401,411.4,425.1,428.1,440,571.5,573.3,577.1,579.2,580,681,701.6,704.2,770"
"OMIM_159001"	"MUSCULAR DYSTROPHY, LIMB-GIRDLE, TYPE 1B"	"359.1,425,427,427.42,427.8,739,741.3,772.1"
"OMIM_181350"	"#181350 EMERY-DREIFUSS MUSCULAR DYSTROPHY 2, AUTOSOMAL DOMINANT; EDMD2;;EMD2;;EMERY-DREIFUSS MUSCULAR DYSTROPHY, AUTOSOMAL DOMINANT;;SCAPULOILIOPERONEAL ATROPHY WITH CARDIOPATHY;;MUSCULAR DYSTROPHY WITH EARLY CONTRACTURES AND CARDIOMYOPATHY, AUTOSOMALDOMINANT;;HAUPTMANN-THANNHAUSER MUSCULAR DYSTROPHYEMERY-DREIFUSS MUSCULAR DYSTROPHY, ATYPICAL, AUTOSOMAL RECESSIVE,INCLUDED;;EMERY-DREIFUSS MUSCULAR DYSTROPHY 3, AUTOSOMAL RECESSIVE, INCLUDED;EDMD3, INCLUDED"	"356,359.1,425,427,427.42,727.7,739,772.1,772.3"
"OMIM_212112"	"#212112 CARDIOMYOPATHY, DILATED, WITH HYPERGONADOTROPIC HYPOGONADISM;;MALOUF SYNDROME;;CARDIOMYOPATHY, CONGESTIVE, WITH HYPERGONADOTROPIC HYPOGONADISM;;CARDIOMYOPATHY, DILATED, WITH PREMATURE OVARIAN FAILURE;;CARDIOMYOPATHY WITH PRIMARY TESTICULAR FAILURE;;NAJJAR SYNDROME;;GENITAL ANOMALY WITH CARDIOMYOPATHY;;CARDIOGENITAL SYNDROME"	"277.51,315.3,374.3,394.2,425,425.1,526.3"
"OMIM_605588"	"CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2B1"	"350.2,350.5,356,357,359.1,687.4,737.3,772.1,772.3"
"OMIM_610282"	"RETINITIS PIGMENTOSA 35; RP35"	"362.7,367.9,368"
"OMIM_610283"	"#610283 CONE-ROD DYSTROPHY 10; CORD10"	"362.2,362.7,367.9,368,368.9,375.2"
"OMIM_216820"	"#216820 COLOBOMA, OCULAR, AUTOSOMAL RECESSIVE"	"367.9,378.1,379.3"
"OMIM_222700"	"#222700 LYSINURIC PROTEIN INTOLERANCE; LPI;;DIBASIC AMINO ACIDURIA II"	"260,275.1,278.1,285,287.3,295.3,350.3,504,509,561.1,573.3,577,579.2,585.3,701,743.1,772.1,772.3,789"
"OMIM_164300"	"#164300 OCULOPHARYNGEAL MUSCULAR DYSTROPHY; OPMD;;MUSCULAR DYSTROPHY, OCULOPHARYNGEAL"	"292.1,350.2,352.2,359.1,359.2,374.3,378.5,532,772.1,772.3"
"OMIM_192600"	"#192600 CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 1; CMH1;;CMH;;VENTRICULAR HYPERTROPHY, HEREDITARY;;ASYMMETRIC SEPTAL HYPERTROPHY; ASH;;HYPERTROPHIC SUBAORTIC STENOSIS, IDIOPATHIC"	"425.1,427,428.1"
"OMIM_613426"	"#613426 CARDIOMYOPATHY, DILATED, 1S; CMD1SLEFT VENTRICULAR NONCOMPACTION 5, INCLUDED; LVNC5, INCLUDED"	"395.3,425,427,428.1"
"OMIM_613750"	"#613750 RETINITIS PIGMENTOSA 27; RP27"	"362.7,362.9,363.4,367.9,368"
"OMIM_261650"	"PHOSPHOENOLPYRUVATE CARBOXYKINASE 2, MITOCHONDRIAL"	"251.1,571.5,573,586"
"OMIM_613990"	"#613990 DYSKERATOSIS CONGENITA, AUTOSOMAL DOMINANT, 3; DKCA3"	"284,284.1,287.3,334.1,348.9,362.3,375.2,389,504.1,528.6,637,694.2,704.1,706.8,743.1"
"OMIM_601369"	"#601369 DEAFNESS, AUTOSOMAL DOMINANT 9; DFNA9"	"386.2,386.3,389.1,389.4"
"OMIM_252010"	"#252010 MITOCHONDRIAL COMPLEX I DEFICIENCY;;NADH:Q(1) OXIDOREDUCTASE DEFICIENCY;;NADH-COENZYME Q REDUCTASE DEFICIENCY;;MITOCHONDRIAL NADH DEHYDROGENASE COMPONENT OF COMPLEX I, DEFICIENCYOF"	"251.1,276.41,323,331,334.1,345.3,348.2,348.7,350.1,350.3,350.5,367.9,374.3,377.1,378,378.2,389.1,425.1,509.1,573,772.1,772.3,789,798"
"OMIM_606324"	"PARKINSON DISEASE 7, AUTOSOMAL RECESSIVE EARLY-ONSET"	"295.3,300.1,333.1,333.4,350.1"
"OMIM_236792"	"#236792 L-2-HYDROXYGLUTARIC ACIDURIA;;L-2-HYDROXYGLUTARIC ACIDEMIA"	"191,292.1,292.2,315.3,323,324,331,334.1,341,345.3,350.3,377.1,378,378.2,389,772.2"
"OMIM_182600"	"#182600 SPASTIC PARAPLEGIA 3, AUTOSOMAL DOMINANT; SPG3A;;SPG3;;STRUMPELL DISEASE;;FAMILIAL SPASTIC PARAPLEGIA, AUTOSOMAL DOMINANT, 1; FSP1"	"315.3,334,334.1,344,350.2,350.5,596.5,599.4,599.9,737.3,772.1,772.3"
"OMIM_128230"	"#128230 DYSTONIA, DOPA-RESPONSIVE; DRD;;DYSTONIA 5; DYT5;;DYSTONIA, PROGRESSIVE, WITH DIURNAL VARIATION;;DYSTONIA-PARKINSONISM WITH DIURNAL FLUCTUATION;;SEGAWA SYNDROME, AUTOSOMAL DOMINANT;;DYSTONIA, DOPA-RESPONSIVE, AUTOSOMAL DOMINANT;;DOPA-RESPONSIVE DYSTONIA, AUTOSOMAL DOMINANT"	"332,333.1,333.4,334.1,350.5,723.1,737.3"
"OMIM_233910"	"#233910 HYPERPHENYLALANINEMIA, BH4-DEFICIENT, B; HPABH4B;;HYPERPHENYLALANINEMIA, TETRAHYDROBIOPTERIN-DEFICIENT, DUE TO GTP CYCLOHYDROLASEI DEFICIENCY;;GTP CYCLOHYDROLASE I DEFICIENCYDYSTONIA, DOPA-RESPONSIVE, WITH OR WITHOUT HYPERPHENYLALANINEMIA,AUTOSOMAL RECESSIVE, INCLUDED"	"290.1,315.3,333.1,333.3,333.4,345.3,350.1,350.3,378,527.7,532,772.2,783,798"
"OMIM_212550"	"MICROPHTHALMIA, ISOLATED, WITH CATARACT 2"	"366,378.2,379.4"
"OMIM_256800"	"#256800 INSENSITIVITY TO PAIN, CONGENITAL, WITH ANHIDROSIS; CIPA;;NEUROPATHY, CONGENITAL SENSORY, WITH ANHIDROSIS;;HEREDITARY SENSORY AND AUTONOMIC NEUROPATHY IV; HSAN4;;HSAN IV;;FAMILIAL DYSAUTONOMIA, TYPE II"	"292.2,313.1,315.3,337,364,364.1,364.4,370,370.1,458.1,704.1,705,707,710.1,713.5,783"
"OMIM_612999"	"#612999 EMERY-DREIFUSS MUSCULAR DYSTROPHY 5, AUTOSOMAL DOMINANT; EDMD5"	"359.1,425,427,509,772.1,772.3"
"OMIM_182870"	"SPECTRIN, BETA, ERYTHROCYTIC"	"277.4,282.9,283,573.5"
"OMIM_270700"	"#270700 SPASTIC PARAPLEGIA 15, AUTOSOMAL RECESSIVE; SPG15;;SPASTIC PARAPLEGIA AND RETINAL DEGENERATION;;KJELLIN SYNDROME"	"292.1,295.3,315.3,334.1,350.1,350.2,350.5,356,362,362.2,367.9,378.2,596.5,599.4,599.9,772.1,772.3"
"OMIM_607822"	"ALZHEIMER DISEASE 3"	"290.1,290.11,290.12,292.1,292.12,292.3,331,333.2,333.4,334.1,345.3,350.2,350.5,532"
"OMIM_613694"	"#613694 CARDIOMYOPATHY, DILATED, 1U; CMD1U"	"425,428.1,788"
"OMIM_614650"	"#614650 COENZYME Q10 DEFICIENCY, PRIMARY, 6; COQ10D6"	"269,345.3,389.1,580,580.12,580.4"
"OMIM_607625"	"#607625 NIEMANN-PICK DISEASE, TYPE C2; NPC2"	"290.1,290.12,292.1,295.3,313.2,315.3,333.4,334.1,345.3,347,350.1,350.3,378,509.1,532,573.3,579.2"
"OMIM_614819"	"#614819 WEILL-MARCHESANI SYNDROME 3; WMS3"	"365,367.1,394.1,395.4,741.2"
"OMIM_603896"	"#603896 LEUKOENCEPHALOPATHY WITH VANISHING WHITE MATTER; VWM;;CHILDHOOD ATAXIA WITH CENTRAL NERVOUS SYSTEM HYPOMYELINIZATION; CACH;;VANISHING WHITE MATTER LEUKODYSTROPHY;;CREE LEUKOENCEPHALOPATHY; CLEVANISHING WHITE MATTER LEUKODYSTROPHY WITH OVARIAN FAILURE, INCLUDED;;OVARIOLEUKODYSTROPHY, INCLUDED"	"292.1,292.3,295.2,324,341,345.3,350.1,350.2,350.3,367.9,377.1,798"
"OMIM_114500"	"COLORECTAL CANCER"	"151,153,189.11,189.2"
"OMIM_613156"	"#613156 MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH MENTAL RETARDATION),TYPE B, 2; MDDGB2;;MUSCULAR DYSTROPHY, CONGENITAL, POMT2-RELATED"	"315.3,331,348.9,350.3,350.5,352.2,362.7,367.1,378,416,509,737.2,737.3,739,772.3,830"
"OMIM_613158"	"#613158 MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (LIMB-GIRDLE), TYPE C, 2; MDDGC2;;MUSCULAR DYSTROPHY, LIMB-GIRDLE, TYPE 2N; LGMD2N;;MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY, LIMB-GIRDLE, POMT2-RELATED"	"359.1,426.31,772.3"
